,hs/no-hs,gender-based,racist,nationality/ethnicy-based,homophobic,directed towards an individual
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,1,1,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,1,0,0,0,0,1
8,1,0,0,1,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,1,0,1,1,0,1
13,1,0,1,1,0,0
14,1,0,0,1,0,0
15,1,0,1,1,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,1,1,0,0,0,1
23,0,0,0,0,0,0
24,1,0,1,1,0,0
25,1,0,0,0,0,0
26,1,0,1,1,0,0
27,1,1,0,0,0,1
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,1,1,0,0,0,1
37,0,0,0,0,0,0
38,1,0,1,1,0,1
39,0,0,0,0,0,0
40,1,0,0,0,0,1
41,1,1,0,0,0,0
42,0,0,0,0,0,0
43,1,0,0,1,0,0
44,1,0,0,0,0,1
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,1,1,0,0,0,0
48,1,1,0,0,0,0
49,1,1,0,0,0,0
50,1,0,0,0,0,1
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,1,0,0,0,0,1
57,1,1,0,0,0,1
58,1,1,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,1,1,0,0,0,0
62,1,1,0,0,0,1
63,1,0,0,0,0,0
64,1,1,0,0,0,1
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,1,0,0,1,0,0
68,1,1,1,1,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,1,1,0,0,0,1
75,1,1,0,0,0,1
76,1,1,0,0,0,1
77,0,0,0,0,0,0
78,1,1,0,0,0,1
79,1,0,1,1,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,1,0,1,1,0,1
84,1,1,0,0,0,1
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,1,1,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,1,0,1,1,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,1,1,0,0,0,0
99,0,0,0,0,0,0
