,Ground Truth,Tweet
0,1,#SaudiArabia has beheaded Indonesian migrant worker despite several direct pleas from #Indonesia's Pres. Widodo to show mercy #ucanews #humanrights #voiceforthevoiceless @user @user @user @user @user @user @user
1,1,@user But how can they be raped if no men are there to rape them?
2,1,@user Agreed MJ! Any Country that has an #OpenBorders policy is in trouble! #BuildThatWall #VoteRedToSaveAmerica #AmericaFirst
3,1,Daily Mail pulls story about ‘˜migrant-infested’ #Paris suburb after backlash
4,0,#FactCheck true #WakeUpAmerica #LeftistSedition #DemocratsHateAmerica #OpenYourEyes #FreeYourMind #BuildTheWall #StopTheInvasion
5,1,Join American Sheriffs to Secure Americas Borders! #BuildThatWall
6,1,Did you know75% of deported immigrants make it back across the borders within 1 year.  This includes deported gang members.
7,0,Dumb Cunt rides like a Whore
8,1,Immigrants convicted of felonies and serious misdemeanors should be subject to citizen revocation and deportation. Why are we keeping criminals here?
9,1,#Nagaland Deploys More Troops on Assam Border to Check Influx of Immigrants via @user
10,1,"@user It's alright Julia, we already know how vile you are, no need to ram the point home"
11,0,@user @user You're a dick. Said every woman ever
12,0,I heard today from my uncle that if a woman is on her period and she goes into a pool the pool is no better than a toilet. DISGUSTING!!#
13,0,I ain't even know there was 2 fat Kardashians till today...
14,1,Before I rip you a new asshole vs after
15,0,President Trump is a BSer. President Trump tells the Truth. Both things can be true. #EndTheEU #SaveEurope #StopIslam #BringBackTheLira
16,0,"#BorderSecurity #BorderPatrol #Immigration #Undocumented #Aliens#PresidentTrump has signed an Executive Order ending #CatchAndRelease.  This is a huge, Catch and Release has been a..."
17,0,"Edwin Jackson, Indianapolis Colts linebacker, was killed by an illegal alien, police say #BuildTheWall #StopTheInvasion"
18,1,Dear white girls: Regardless of how much black dick you’ve had in your mouth you don’t get a pass to freely say “nigga.” Ever. Lol.
