,token,frequency
14,california,4003
17,love,3448
23,day,2120
24,happy,2086
26,los,1954
27,san,1906
30,beach,1783
31,angeles,1778
39,night,1478
50,vegas,1345
52,christmas,1250
56,park,1122
58,las,1112
62,beautiful,1011
64,(@,993
67,birthday,943
69,hollywood,890
77,city,819
78,fun,767
79,francisco,763
83,family,716
84,life,714
86,favorite,705
87,morning,704
89,ca),692
91,tonight,682
93,center,672
95,amazing,671
103,diego,623
106,disneyland,598
111,weekend,572
116,|,534
118,friends,520
120,santa,515
123,lake,493
125,#california,482
126,girl,475
130,downtown,473
132,#love,466
133,#tbt,455
135,seattle,441
137,hills,437
139,hotel,436
140,people,435
141,lol,431
146,baby,426
147,washington,426
148,house,422
151,school,410
155,view,403
159,photo,395
160,merry,395
161,ready,394
162,friend,392
164,2,389
167,#repost,383
168,#la,382
170,dinner,380
173,week,378
176,#losangeles,374
177,west,371
179,days,361
181,party,358
182,friday,357
184,wait,356
188,(at,347
190,#,341
191,heart,339
194,finally,337
197,pretty,334
199,w/,328
200,bar,328
201,girls,323
204,disney,321
207,valley,319
208,club,315
209,guys,315
212,sunday,309
213,golden,309
215,university,308
220,#sanfrancisco,301
221,live,300
224,coffee,296
225,bay,295
227,tree,293
228,coming,292
230,perfect,290
232,venice,289
233,adventure,288
234,lit,285
235,holiday,285
238,airport,281
239,international,280
241,sunset,277
242,guy,275
246,oregon,270
247,hair,267
248,awesome,266
249,beverly,265
252,monica,262
253,thankful,259
254,#vegas,258
255,summer,256
256,check,256
259,picture,254
260,yesterday,253
261,hard,253
262,thanksgiving,253
263,sweet,252
264,hope,249
265,restaurant,249
266,#family,248
267,hot,247
268,beauty,247
269,//,247
270,nevada,246
271,real,246
272,mom,245
274,+,244
276,2016,243
281,1,238
282,game,236
283,excited,236
284,art,236
285,food,236
286,bridge,234
287,rock,232
288,#usa,230
291,lunch,228
293,pier,227
294,#lasvegas,226
295,#disneyland,224
297,super,224
298,cute,223
299,resort,222
300,portland,222
301,casino,221
303,nice,221
304,cool,219
306,walk,217
307,gate,217
311,national,214
312,lovely,213
313,south,213
314,shot,213
315,red,213
316,3,212
317,studios,211
318,#christmas,211
320,sun,206
322,tomorrow,206
326,studio,206
327,saturday,206
329,loving,204
330,gorgeous,204
331,feeling,204
332,grand,203
334,music,203
337,),201
338,shoot,201
339,york,200
340,cafe,199
341,start,199
342,monday,199
343,mountain,199
344,feel,196
345,strip,196
346,black,195
347,street,194
348,boy,193
349,•,192
351,times,191
353,canyon,191
354,team,191
355,class,191
358,county,190
361,north,188
362,missing,188
363,malibu,187
364,season,186
365,church,185
370,special,184
371,||,184
372,ladies,183
374,post,183
375,stadium,182
376,eve,182
377,oakland,182
380,loves,180
381,lot,179
382,town,179
384,trip,177
385,meet,177
386,ya,176
387,#sandiego,175
388,video,175
390,pic,174
391,fam,174
392,museum,174
395,wonderful,173
396,magic,173
397,dance,173
398,breakfast,173
399,square,172
401,wedding,172
402,market,172
405,set,168
407,sister,168
410,#seattle,167
413,springs,165
418,shit,162
419,holidays,162
420,crazy,161
421,gonna,161
422,pacific,161
423,enjoying,160
424,stay,160
425,kids,159
427,(,159
428,link,159
429,4,159
431,sf,158
433,theatre,158
434,shop,158
435,#travel,158
436,lights,157
437,smile,157
438,hey,157
440,celebrating,156
441,blue,156
442,selfie,156
443,huntington,156
444,y'all,155
445,coast,155
446,loved,154
447,el,154
448,palm,154
449,light,154
450,bad,153
451,moment,153
452,grill,153
454,boys,151
455,true,151
456,universal,150
457,nights,149
461,grove,147
462,god,147
463,bowl,147
466,missed,146
469,#hollywood,145
470,watch,145
472,follow,144
473,event,142
474,dog,142
475,island,142
477,play,142
478,lil,141
480,#selfie,139
481,arts,138
482,guess,138
485,mission,137
486,waiting,136
487,ocean,136
488,person,136
489,lady,135
491,babe,134
492,garden,134
495,#nofilter,134
496,star,134
498,lounge,133
499,today's,133
501,ass,133
504,white,131
505,vibes,131
506,arena,131
508,bio,131
509,ice,130
510,visit,130
511,newport,130
512,gift,130
513,store,129
515,#friends,128
516,#sunset,128
519,anaheim,127
521,nv),126
525,—,125
527,cali,125
528,bday,125
529,staples,124
530,playing,124
532,watching,123
533,fitness,123
534,gotta,123
536,jose,123
538,/,123
540,drive,123
541,hour,122
542,happiest,122
543,starbucks,122
544,brother,122
545,eat,122
546,college,122
547,dad,122
549,blessed,121
551,district,121
553,lucky,120
554,style,120
555,laguna,120
556,orange,120
560,5,118
561,union,118
564,enjoy,117
565,hit,117
566,break,117
567,glad,116
568,shopping,116
569,del,116
571,song,116
572,winter,116
573,spring,115
575,country,115
576,tahoe,114
577,sacramento,114
578,dress,114
580,fall,114
581,#sf,114
582,theater,113
583,soul,113
584,job,113
585,fresh,113
587,pictures,112
588,bae,111
589,burger,111
590,#dtla,111
591,ride,111
592,company,111
593,sign,110
594,crew,110
597,squad,109
598,#beautiful,109
599,spend,109
600,weather,109
601,couple,109
602,sunshine,109
604,hall,108
605,#merrychristmas,108
606,spent,107
607,afternoon,106
608,wine,106
609,hanging,106
610,1st,106
612,dream,106
613,#beach,106
614,river,105
615,color,105
616,nightclub,105
617,space,104
618,feels,104
621,pizza,103
622,makeup,103
623,fashion,102
624,village,102
625,desert,102
626,earth,102
627,tho,101
629,rose,101
631,hill,100
632,office,100
633,tea,100
634,#cali,100
635,evening,100
636,spa,100
639,bear,99
640,hours,99
641,haha,99
644,convention,99
645,bro,99
647,met,98
649,late,98
650,head,98
651,fame,97
652,experience,97
653,tour,97
654,water,97
655,support,97
656,remember,97
657,farm,96
658,east,96
659,observatory,96
660,gym,96
661,hike,96
662,#wcw,96
663,#thanksgiving,96
664,dreams,95
666,photos,95
667,anniversary,95
668,concert,94
670,weeks,94
671,fav,93
672,eyes,93
674,ranch,93
675,wanna,93
676,sunny,93
677,cold,93
678,spending,93
679,=,93
681,kid,92
682,movie,92
683,salon,92
684,air,92
685,mind,92
686,green,92
688,marina,92
689,central,92
690,sky,91
691,funny,91
693,#music,91
694,festival,90
697,damn,90
698,left,90
701,brunch,90
704,zoo,90
706,living,89
708,magical,89
709,road,89
710,adventures,89
711,car,89
713,sea,89
714,2017,89
715,#nature,88
716,congrats,88
717,usa,88
719,reunited,88
721,snow,87
722,thursday,87
724,pink,87
725,shooting,87
727,#fun,87
729,vista,86
730,views,86
731,#pnw,86
732,wa),86
733,wear,86
735,omg,86
736,leave,86
737,queen,86
738,palace,85
739,spot,85
742,field,85
743,handsome,85
746,#latergram,84
748,share,84
749,starting,84
750,mama,84
752,wearing,84
753,grateful,84
754,sleep,83
755,months,83
756,fuck,83
757,#starwars,83
758,america,83
759,american,83
760,bit,83
761,lmao,83
762,sushi,83
764,6,82
765,chicken,82
767,quick,82
769,catch,81
771,pool,81
772,worth,81
773,kitchen,81
774,blast,81
776,cream,80
777,model,80
779,throwback,80
780,started,80
781,(lax),80
782,lacma,80
783,yeah,80
784,close,79
785,bring,79
786,future,79
787,meeting,79
788,literally,79
790,care,79
791,#disney,79
794,fine,78
795,boo,78
796,mgm,78
797,month,78
799,creek,78
801,chocolate,77
802,december,77
803,falls,77
804,gold,77
805,babies,76
806,yosemite,76
807,happiness,76
808,forget,76
810,#fashion,76
811,incredible,75
812,community,75
813,rain,75
814,#photography,75
817,trail,75
818,#art,75
819,#food,75
820,warm,75
821,sisters,74
822,inn,74
823,memories,74
824,#vacation,74
825,son,74
826,shout,74
827,building,74
828,wednesday,74
829,woman,74
830,#sundayfunday,73
832,yoga,73
833,griffith,73
834,cousin,73
835,dude,73
838,surprise,73
839,wow,73
840,7,73
841,dope,73
843,cove,72
844,delicious,72
846,win,72
847,pics,72
849,xmas,72
850,#blessed,71
851,sound,71
852,wild,71
854,piece,71
856,tuesday,71
857,blvd,71
858,#instagood,71
859,change,71
860,wars,71
862,golf,70
864,repost,70
865,camp,70
866,irvine,70
868,fair,70
869,texas,70
870,main,70
871,kinda,70
873,cut,70
875,gardens,70
876,lots,70
877,lost,70
878,everyday,70
879,bbq,69
880,absolutely,69
882,#ootd,69
883,plaza,69
884,straight,69
886,#happy,69
887,mount,68
888,'s,68
889,celebrate,68
891,session,68
894,happened,68
895,#mcm,68
897,bed,67
898,sports,67
899,#summer,67
900,pasadena,67
901,joy,67
902,#roadtrip,67
905,eating,67
906,#snapchat,67
907,story,67
908,sale,67
909,#fbf,67
910,s/o,67
911,wishing,67
912,aka,66
914,natural,66
915,2015,66
916,cousins,66
917,row,65
918,#fitness,65
920,beer,65
921,castle,65
922,#malibu,65
923,snapchat,65
924,#foodporn,65
925,#hiking,65
926,manhattan,65
927,mad,65
928,congratulations,65
929,memorial,65
931,hand,64
932,#santamonica,64
933,hear,64
934,drink,64
935,workout,64
936,bright,64
938,#model,64
939,book,64
942,broad,64
944,rodeo,64
945,wall,63
946,mother,63
948,yo,63
951,stage,63
952,sis,63
953,#socal,63
954,double,63
955,mood,63
958,moon,62
959,hilton,62
960,#vscocam,62
961,babes,62
963,training,62
964,academy,62
965,wake,62
967,#i,62
968,walking,61
969,[pic],61
970,#throwback,61
971,hiking,61
974,annual,60
975,disneyland/california,60
976,stuff,60
977,pop,60
980,balboa,60
982,dancing,60
983,#bts,60
984,tag,60
985,bellagio,60
986,train,59
987,casa,59
989,moments,59
990,winery,59
991,hat,59
992,women,59
993,station,59
994,tower,59
995,southern,59
996,king,58
997,caught,58
998,purple,58
999,matter,58
1000,john,58
1001,easy,58
1002,rey,58
1004,#lol,58
1005,husband,58
1008,24,58
1009,cheese,58
1011,hate,57
1012,victoria,57
1013,brought,57
1014,factory,57
1015,fremont,57
1016,fan,57
1017,middle,57
1019,told,57
1020,killed,57
1021,laugh,57
1023,bitch,57
1024,mini,57
1025,mall,57
1026,silver,57
1027,#oregon,57
1028,jolla,56
1029,hang,56
1030,strong,56
1031,talented,56
1032,#portland,56
1033,quality,56
1034,#foodie,56
1035,heaven,56
1036,trees,56
1037,#christmastree,56
1038,hands,56
1039,minute,56
1040,wit,56
1042,harbor,55
1043,rest,55
1044,land,55
1045,runyon,55
1046,beat,55
1047,table,55
1048,goodbye,55
1049,twin,55
1050,body,55
1052,apple,55
1053,brand,55
1054,#tgif,55
1055,ur,55
1056,talk,55
1057,chicago,55
1058,performing,54
1059,cheers,54
1060,20,54
1061,#holidays,54
1062,bakery,54
1063,vintage,54
1064,coachella,54
1066,forest,54
1067,keeping,54
1068,service,54
1069,cake,54
1070,planet,54
1071,extra,54
1072,drop,54
1073,daddy,54
1074,arrived,54
1075,riverside,53
1076,16,53
1078,nyc,53
1079,heights,53
1080,filter,53
1081,yay,53
1082,reason,53
1083,business,53
1084,#vsco,53
1085,#happyholidays,53
1086,spirit,53
1087,obsessed,52
1088,rancho,52
1089,cuz,52
1090,senior,52
1091,ball,52
1092,#latepost,52
1093,#photoshoot,52
1094,8,52
1095,online,52
1096,smiles,52
1098,boutique,52
1100,#goodmorning,52
1101,#smile,52
1102,pike,52
1103,florida,52
1104,credit,51
1105,drinking,51
1106,partner,51
1107,idaho,51
1108,celebration,51
1109,goals,51
1110,bestie,51
1112,barbara,51
1113,fave,51
1114,blog,51
1115,innout,51
1117,cutest,51
1118,clients,51
1119,short,51
1120,single,51
1121,shine,51
1123,takes,51
1124,performance,50
1126,custom,50
1127,sunsets,50
1128,#birthday,50
1129,idea,50
1130,cup,50
1131,fucking,50
1132,looked,50
1133,princess,50
1134,catching,50
1135,forum,50
1136,melrose,50
1138,sharing,50
1139,safe,50
1140,disney's,50
1141,#venicebeach,50
1142,#beauty,50
1145,2nd,49
1147,shoutout,49
1148,fresno,49
1149,pleasure,49
1150,#sunday,49
1151,officially,49
1154,details,49
1155,shirt,49
1156,#makeup,49
1157,add,49
1158,sur,49
1159,wife,49
1160,design,49
1161,homie,49
1162,mommy,49
1163,project,49
1165,success,49
1166,earlier,48
1167,photography,48
1168,oceanside,48
1169,brothers,48
1170,wrong,48
1172,napa,48
1173,phone,48
1174,dr,48
1175,thinking,48
1176,#photooftheday,48
1177,cred,48
1178,collection,48
1179,money,48
1180,ft,48
1181,burbank,48
1183,cruz,48
1184,21,48
1185,fort,48
1186,parents,48
1187,huge,48
1188,running,48
1189,monterey,47
1190,mi,47
1191,vacation,47
1192,blues,47
1193,flight,47
1194,artist,47
1195,biggest,47
1197,drinks,47
1198,ps,47
1199,heat,47
1200,#ocean,47
1202,joshua,47
1204,youtube,47
1205,current,47
1206,cutie,47
1207,hahaha,47
1208,buddy,47
1209,pc,47
1210,peace,47
1211,fish,47
1212,entire,47
1214,putting,47
1215,needle,46
1216,camera,46
1217,columbia,46
1218,echo,46
1220,#nevada,46
1221,dreaming,46
1222,mexican,46
1223,#goodtimes,46
1224,daughter,46
1225,power,46
1226,stunning,46
1227,mountains,46
1229,sunrise,46
1230,sexy,46
1231,pub,46
1232,da,46
1234,pass,46
1235,veterans,46
1236,#thankful,46
1237,lighting,46
1238,yesterday's,45
1239,harry,45
1240,album,45
1241,chill,45
1242,justin,45
1243,shots,45
1244,box,45
1246,hood,45
1247,#life,45
1249,happen,45
1250,bros,45
1251,waterfront,45
1253,flags,45
1254,daily,45
1255,paradise,45
1256,epic,45
1257,#cute,45
1258,favorites,45
1259,#vegan,45
1260,fly,45
1261,#sun,45
1262,action,44
1263,bc,44
1264,neighborhood,44
1265,#datenight,44
1266,roll,44
1267,bringing,44
1268,nature,44
1269,list,44
1270,eye,44
1271,random,44
1272,glass,44
1273,rainy,44
1274,photographer,44
1275,totally,44
1278,bye,44
1279,nigga,44
1280,boise,44
1281,cover,44
1282,#dance,44
1283,tacoma,44
1284,starts,44
1285,french,44
1286,final,44
1287,(and,44
1288,#me,44
1289,sand,44
1291,mother's,44
1292,auditorium,43
1293,honor,43
1295,bride,43
1296,tired,43
1297,dark,43
1298,brewing,43
1300,official,43
1301,chance,43
1302,#coffee,43
1303,oc,43
1305,dam,43
1306,posted,43
1307,library,43
1309,lane,43
1310,#ca,43
1311,#holiday,43
1313,shoes,42
1314,talking,42
1315,fit,42
1316,crystal,42
1317,holy,42
1318,mesa,42
1319,wizarding,42
1320,tattoo,42
1321,#wedding,42
1323,famous,42
1324,#tb,42
1325,clean,42
1326,12,42
1327,#2016,42
1328,oracle,42
1330,heading,42
1331,oaks,42
1332,puppy,42
1333,visiting,42
1334,stars,42
1337,berkeley,42
1338,healthy,42
1339,4th,42
1340,#nyc,42
1341,thai,42
1342,boardwalk,42
1343,9,42
1344,walt,41
1345,events,41
1346,pick,41
1348,turkey,41
1350,lodge,41
1351,location,41
1352,instagram,41
1353,yummy,41
1354,pie,41
1355,adorable,41
1357,candy,41
1358,social,41
1361,mickey,41
1362,em,41
1363,angel,41
