,token,frequency
15,bitch,1160
24,women,947
25,refugees,878
34,immigrant,715
45,illegal,614
48,woman,581
54,immigration,555
55,migrants,538
58,people,531
62,rape,516
68,cunt,465
69,fuck,424
72,immigrants,402
75,hysterical,387
77,whore,380
80,fucking,364
86,ass,344
87,#buildthatwall,342
91,country,314
94,refugee,301
95,hoe,297
106,pussy,277
108,stupid,275
110,skank,270
112,trump,268
113,girl,266
119,dick,244
123,children,240
127,shit,229
128,#maga,229
132,migrant,218
145,border,188
146,white,187
147,life,187
148,#buildthewall,186
155,europe,171
156,muslim,171
157,slut,169
160,hole,166
161,eu,165
163,love,164
167,shut,162
169,#immigration,161
171,#trump,160
179,countries,148
180,support,148
184,stfu,143
185,illegals,142
188,migration,141
195,2,136
196,kids,136
202,american,130
203,don’t,129
205,america,128
206,families,127
210,stay,126
212,speech,124
214,#womensuck,123
215,hate,122
216,#nodaca,121
220,rights,119
224,day,115
225,law,115
226,watch,114
229,money,110
231,wall,110
233,dumb,108
235,girls,108
236,government,107
237,germany,107
241,care,104
243,real,103
244,rt,103
245,called,103
247,talk,102
252,child,98
253,president,98
255,family,96
256,left,95
258,bitches,95
259,legal,95
260,americans,95
262,vote,94
263,pay,94
264,bad,94
269,syrian,92
271,parents,92
275,alien,90
278,ur,89
284,hope,87
285,policy,87
286,#noamnesty,86
287,#refugees,86
288,1,86
290,send,85
292,mass,84
296,#sendthemback,84
297,police,84
299,welfare,83
300,deport,83
301,wanna,83
305,laws,82
306,aliens,82
307,feel,82
309,#stoptheinvasion,81
311,start,81
312,ram,80
313,citizens,80
316,return,79
318,live,79
321,usa,78
322,story,78
323,sexual,78
324,calling,77
326,it’s,77
328,borders,76
329,deported,76
330,report,76
331,coming,75
332,black,75
333,guys,75
334,wrong,75
335,suck,74
336,hard,74
337,gonna,74
338,talking,74
340,sex,73
341,ice,73
343,week,73
346,lol,73
349,italy,71
351,god,71
352,house,71
353,friends,71
354,#rednationrising,70
357,german,70
360,leave,69
361,culture,68
363,lives,68
365,#deportthemall,67
367,guy,67
372,workers,66
373,ugly,66
374,bring,66
375,3,66
378,friend,66
379,asylum,66
380,crisis,66
381,cock,65
382,told,65
384,person,64
385,|,64
388,living,64
389,head,64
390,hoes,64
392,news,62
393,illegally,62
394,job,62
398,read,61
400,human,60
401,crime,60
403,i’m,60
404,understand,59
405,true,59
406,racist,59
407,political,58
408,ya,58
409,change,58
411,protect,57
412,stand,57
414,poor,57
415,killed,57
416,safe,57
417,reason,57
420,detention,56
424,accused,56
425,play,56
426,african,56
427,learn,55
428,public,55
429,food,55
430,yo,54
431,lot,54
432,video,54
433,criminal,54
434,party,54
435,#walkaway,54
436,media,54
437,eat,54
438,community,54
442,lil,53
444,texas,53
445,fake,53
447,die,53
449,city,53
452,4,53
453,nice,52
454,twitter,52
456,âž,52
457,kunt,52
458,obama,52
461,hear,51
462,nation,51
463,happy,51
464,abuse,51
465,housing,51
466,fight,50
467,fuckin,50
470,deportation,50
472,speak,50
473,remember,50
474,court,50
475,hey,49
477,judge,49
478,india,49
480,night,49
482,build,49
483,control,49
484,mouth,49
486,#enddaca,49
487,death,49
489,issue,49
490,nigga,49
494,social,48
495,assault,48
496,war,48
497,'not,48
498,daca,48
499,raped,48
501,plan,47
502,muslims,47
504,dead,47
505,mind,47
506,spain,47
507,allowed,47
508,respect,47
509,5,47
510,victims,47
512,mexico,47
514,separated,46
515,france,46
516,#withrefugees,46
517,wait,46
520,forced,46
522,sweden,45
523,school,45
526,check,45
528,fat,45
530,boy,45
534,canada,44
535,jobs,44
536,millions,44
538,trash,44
540,economic,44
542,hit,43
543,antiimmigrant,43
545,security,43
546,hundreds,43
547,national,43
548,post,43
549,game,43
550,#rohingya,43
551,damn,43
552,lost,43
553,merkel,43
554,violence,43
556,truth,42
557,agree,42
558,#kag,42
559,aid,42
560,follow,42
561,bc,42
562,you’re,42
565,kitchen,42
566,matter,41
569,kill,41
570,justice,41
571,business,41
572,libya,41
574,homes,41
576,men',41
577,deserve,41
578,—,41
579,deal,41
580,accept,41
581,democrats,41
584,2018,41
585,fucked,40
586,protest,40
587,camp,40
589,#americafirst,40
591,mother,40
592,crazy,40
595,times,39
596,islamic,39
598,attention,39
599,days,39
600,lmao,39
601,&;,39
604,😂,39
605,minister,39
607,italian,39
608,arrested,39
609,power,39
610,sick,39
611,demand,39
612,son,38
613,christian,38
614,ho,38
615,russia,38
616,including,38
617,syria,38
618,baby,38
619,heard,38
620,foreign,38
621,heart,38
624,female,38
628,sad,38
632,save,37
634,action,37
635,lying,37
636,africa,37
637,administration,37
638,boys,37
639,close,37
640,spanish,37
642,tweet,37
643,literally,37
645,piece,37
646,#metoo,37
647,military,37
648,tells,36
649,liberals,36
650,listen,36
651,federal,36
652,paid,36
653,can’t,36
654,thousands,36
655,criminals,36
656,killing,36
657,calls,36
658,special,36
661,camps,36
664,fear,36
666,break,35
667,center,35
668,invasion,35
669,cut,35
670,european,35
673,prison,35
675,yeah,35
677,months,35
679,word,34
680,difference,34
681,taxpayers,34
682,charged,34
684,local,34
685,population,34
686,question,34
687,fun,34
688,wife,34
690,mad,34
691,gotta,34
692,started,34
693,share,34
694,enter,34
695,wow,33
696,mexican,33
697,jail,33
698,worker,33
699,sexually,33
700,#refugee,33
701,whores,33
702,guess,33
703,communities,33
704,waiting,33
707,yall,33
711,dirty,32
713,car,32
716,west,32
717,benefits,32
718,building,32
720,hand,32
721,broke,32
722,murder,32
723,citizenship,32
724,continue,32
725,destroy,32
726,health,32
727,hungary,32
728,policies,32
731,united,32
732,status,32
733,streets,32
734,idea,32
735,#eu,32
736,niggas,32
737,pretty,32
738,sign,32
741,beat,32
743,finally,31
744,pass,31
745,services,31
746,dems,31
748,#immigrant,31
749,south,31
750,program,31
751,seekers,31
753,drunk,31
754,#illegalaliens,31
756,choke,31
758,phone,31
759,pro,31
760,daily,31
761,attack,31
762,girlfriend,30
763,victim,30
764,turkey,30
765,future,30
767,hot,30
768,book,30
769,mom,30
770,separation,30
771,easy,30
773,month,30
774,strong,30
776,takes,30
778,sleep,30
779,telling,30
780,crimes,30
781,realize,30
782,campaign,30
784,booker,29
785,tax,29
786,cities,29
787,education,29
788,leaders,29
789,relief,29
791,#endchainmigration,29
792,catch,29
794,#familiesbelongtogether,29
797,8,29
799,set,29
800,army,29
801,invaders,29
802,claim,29
804,raise,29
805,liberal,29
806,labor,29
807,sound,29
809,married,29
810,joke,28
811,international,28
812,#yesallmen,28
814,history,28
815,that’s,28
816,#daca,28
817,govt,28
818,threat,28
819,central,28
820,congress,28
821,imagine,28
822,detained,28
823,force,28
824,visit,28
825,ha,28
826,british,28
829,fall,28
830,office,28
832,ladies,28
833,cost,28
834,english,28
835,ban,28
836,red,28
837,rescue,27
838,account,27
839,stories,27
840,stopped,27
841,list,27
842,disgusting,27
843,hold,27
844,voted,27
845,hollywood,27
847,forget,27
848,y'all,27
850,middle,27
851,voters,27
852,entire,27
853,bout,27
854,=,27
855,walk,27
856,#unitednations,27
857,#myanmar,27
858,language,27
860,#spain,26
861,article,26
862,facebook,26
864,society,26
865,fighting,26
866,wake,26
868,#v4,26
869,rich,26
872,treat,26
874,undocumented,26
875,pregnant,26
876,tweets,26
877,austria,26
878,rest,26
879,watching,26
880,homeless,26
881,male,26
882,door,26
883,tired,26
884,crossing,26
885,islam,26
889,supporting,26
891,wages,26
892,#notallmen,26
893,sharia,26
894,they’re,26
895,centers,26
897,paying,25
898,#usa,25
899,#ice,25
901,hurt,25
902,defend,25
904,charge,25
905,plans,25
906,died,25
907,decide,25
908,3rd,25
911,fleeing,25
912,bank,25
913,ppl,25
914,cuz,25
915,nations,25
916,excuse,25
917,“not,25
918,claims,25
920,6,25
922,amazing,25
924,murdered,25
926,block,25
927,vacation,24
928,grow,24
929,church,24
930,cross,24
931,nhs,24
932,single,24
933,release,24
934,shelter,24
935,genocide,24
936,song,24
938,meet,24
939,christians,24
940,lie,24
941,russian,24
942,growing,24
943,civil,24
944,shot,24
945,pathetic,24
946,#ucanews,24
947,running,24
948,answer,24
951,politics,24
953,hands,24
954,illigal,24
955,funny,24
956,team,24
957,massive,24
958,pimp,24
959,shame,24
960,message,24
961,peace,24
962,wear,24
964,kid,24
966,win,24
967,race,24
968,anti,24
969,blame,24
970,#migrants,24
971,drop,24
972,reports,24
973,20,24
974,sense,24
975,violent,24
976,#democrats,24
977,thinking,23
978,evil,23
979,greece,23
980,100,23
981,land,23
982,tomorrow,23
983,access,23
984,situation,23
985,#sendthemhome,23
986,7,23
987,body,23
989,spent,23
990,cum,23
991,pays,23
992,boat,23
993,complete,23
995,idiot,23
996,trump's,23
997,officer,23
998,delhi,23
1000,global,23
1001,crying,23
1003,fund,23
1005,reality,23
1006,economy,23
1007,pic,23
1008,',23
1010,rescued,23
1012,simply,23
1014,dude,22
1015,relationship,22
1016,tonight,22
1017,trust,22
1018,record,22
1019,color,22
1020,israel,22
1021,morning,22
1022,sucking,22
1023,30,22
1024,#buildthedamnwall,22
1026,current,22
1029,cop,22
1030,treatment,22
1031,#news,22
1034,drugs,22
1036,issues,22
1037,students,22
1038,donald,22
1039,beautiful,22
1042,ms13,22
1043,attacks,22
1045,acting,22
1048,north,22
1049,doesn’t,22
1051,happened,22
1052,diversity,22
1056,raping,22
1057,charges,22
1058,drug,22
1060,catholic,21
1063,putting,21
1064,#potus,21
1065,jordan,21
1066,complain,21
1067,perfect,21
1068,gang,21
1069,iraqi,21
1070,afford,21
1071,youth,21
1073,funding,21
1074,#votered,21
1075,meeting,21
1076,weinstein,21
1077,york,21
1078,asshole,21
1079,wtf,21
1080,#lockthemup,21
1081,quick,21
1083,+,21
1084,tryna,21
1085,throw,21
1086,period,21
1087,legally,21
1089,step,21
1090,lose,21
1093,apply,21
1094,silent,21
1095,cool,21
1096,based,21
1097,expect,21
1098,visa,21
1099,2017,21
1100,#illegalimmigration,21
1101,nelly,21
1103,rohingya,21
1104,enforcement,21
1107,father,20
1108,resources,20
1109,schools,20
1110,photo,20
1111,rules,20
1112,rapists,20
1113,bet,20
1114,majority,20
1115,seeking,20
1116,daughter,20
1117,french,20
1119,conditions,20
1120,#worldrefugeeday,20
1121,abused,20
1122,class,20
1123,worse,20
1124,picture,20
1125,men”,20
1126,asap,20
1127,scared,20
1129,😂😂😂,20
1131,likes,20
1132,15,20
1133,dangerous,20
1135,bringing,20
1136,slag,20
1137,dropped,20
1138,birthday,20
1139,sending,20
1140,fair,20
1141,sexist,20
1142,chance,20
1143,responsible,20
1145,western,20
1146,politicians,20
1147,southern,20
1148,town,20
1149,weekend,20
1151,agency,20
1152,ship,20
1153,born,20
1154,shooting,20
1155,helping,20
1157,trafficking,20
1158,rapefugee,19
1159,britain,19
1160,sea,19
1161,glad,19
1162,biggest,19
1163,honest,19
1164,happening,19
1165,provide,19
1168,palestinian,19
1169,released,19
1170,*,19
1171,#trump2020,19
1172,cares,19
1173,angry,19
1174,democrat,19
1175,california,19
1176,influx,19
1178,#bangladesh,19
1179,laugh,19
1181,hillary,19
1182,ready,19
1183,taxes,19
1184,holding,19
1185,ny,19
1187,#maledominance,19
1188,didn’t,19
1189,16,19
1190,fine,19
1192,refuse,19
1194,reach,19
1195,response,19
1196,dad,19
1197,'i,19
1198,vulnerable,19
1199,husband,19
1200,add,19
1201,soros,19
1202,common,19
1203,happen,19
1204,irish,19
1205,officials,19
1206,yesterday,19
1207,arrest,19
1208,safety,19
1209,bunch,19
1211,created,19
1213,season,18
1214,harris,18
1215,terrorists,18
1216,experience,18
1217,interview,18
1218,lebanon,18
1219,11,18
1221,choose,18
1222,met,18
1223,sit,18
1224,seat,18
1225,position,18
1227,rebuild,18
1228,drinking,18
1230,blog,18
1231,alive,18
1232,#boycottnfl,18
1233,ride,18
1236,rule,18
1238,travel,18
1239,false,18
1240,straight,18
1241,equal,18
1243,isis,18
1244,speaks,18
1245,ann,18
1247,moment,18
1249,street,18
1250,type,18
1251,risk,18
1252,comments,18
1254,conservative,18
1255,leaving,18
1257,daddy,18
1258,greek,18
1259,annoying,18
1260,clean,18
1262,losing,18
1263,drive,18
1264,process,18
1266,holes,17
1267,w/,17
1268,grabbing,17
1269,increase,17
1270,ignorant,17
1271,basic,17
1272,#buildthewallnow,17
1273,explain,17
1274,events,17
1275,colorado,17
1276,benefit,17
1277,allowing,17
1278,staff,17
1279,iran,17
1280,#visegrad,17
1281,#brexit,17
1284,age,17
1285,40,17
1286,hours,17
1287,caught,17
1288,weeks,17
1289,filthy,17
1290,dollars,17
1291,huge,17
1292,shelters,17
1293,assistance,17
1294,fucks,17
1296,bed,17
1297,emergency,17
1298,feminists,17
1299,wearing,17
1300,student,17
1301,cheat,17
1302,attacked,17
1303,swedish,17
1304,taxpayer,17
1306,sharing,17
1307,park,17
1308,😘,17
1309,fellow,17
1311,gop,17
1312,returns,17
1313,liar,17
1314,harassment,17
1315,orban,17
1316,worst,17
1317,elected,17
1318,deep,17
1319,decided,17
1320,forces,17
1321,vagina,17
1322,prove,17
1323,figure,17
1325,kavanaugh,16
1326,grown,16
1328,omg,16
1329,agenda,16
1330,create,16
1331,voting,16
1332,remain,16
1333,idiots,16
1334,absolutely,16
1335,card,16
1337,bit,16
1338,#,16
1340,walls,16
1343,scum,16
1344,total,16
1345,role,16
1346,ground,16
1347,election,16
1349,chicago,16
1351,harvey,16
1352,welcomed,16
1353,lady,16
1354,#boycottnike,16
1355,#immigrants,16
1357,rate,16
1358,13,16
1359,elections,16
1360,18,16
1361,lots,16
1362,road,16
1363,press,16
1364,industry,16
1365,worried,16
1366,committed,16
1367,),16
1368,identity,16
1369,racism,16
1370,feelings,16
1371,tho,16
1372,men's,16
1374,hair,16
1375,stick,16
1378,cuts,16
1379,costs,16
1380,fraud,16
1382,da,16
1383,term,16
1384,serve,16
1385,reunited,16
1386,service,16
1387,playing,16
1388,poland,16
1389,blocked,16
1390,dream,16
1391,listening,16
1392,pics,16
1393,labour,16
1394,couple,16
1395,🤔,16
1396,weird,16
1397,homeland,16
1399,push,16
1400,letting,16
1402,kamala,15
1403,reading,15
1405,assam,15
1406,loud,15
1407,‘“,15
1408,green,15
1409,citizen,15
1411,medical,15
1412,built,15
1413,breaking,15
1414,socialist,15
1415,democratic,15
1416,host,15
1417,paris,15
1419,stuff,15
1421,minute,15
1422,boyfriend,15
1423,changing,15
1424,#europe,15
1425,1st,15
1427,starting,15
1429,weak,15
1430,commit,15
1431,innocent,15
1432,guilty,15
1434,threats,15
1436,mediterranean,15
1437,held,15
1439,she’s,15
1440,votes,15
1441,ima,15
1442,helps,15
1443,evidence,15
1444,nasty,15
1445,lies,15
1446,avoid,15
1447,accuse,15
1449,music,15
1450,rapes,15
1451,worth,15
1452,feeling,15
1454,attitude,15
1455,#refugeeswelcome,15
1456,iraq,15
1457,afraid,15
1459,difficult,15
1460,arrived,15
1461,speaking,15
1462,sanctuary,15
1463,i’ll,15
1464,canadian,15
1465,worry,15
1466,sandwich,15
1467,east,15
1468,loose,15
1469,exist,15
1470,island,15
1471,feed,15
1472,event,15
1473,definition,15
1475,republican,15
1476,advocate,15
1478,traitor,15
1479,sounds,15
1480,responsibility,15
1481,form,15
1483,scam,15
1485,hearing,15
1486,protection,14
1487,#refugeesnotwelcome,14
1488,reunite,14
1489,pick,14
1490,training,14
1491,😂😂,14
1492,abusing,14
1493,12,14
1494,impact,14
1496,prevent,14
1498,–,14
1499,hating,14
1501,star,14
1502,property,14
1503,opportunity,14
1505,tweeting,14
1507,authorities,14
1508,#draintheswamp,14
1510,i’ve,14
1511,lied,14
1512,300000,14
1513,train,14
1514,pressure,14
1515,penis,14
1516,honestly,14
1517,everyday,14
1518,abt,14
1519,enjoy,14
1520,standing,14
1521,#uk,14
1522,wage,14
1524,arizona,14
1525,#walkawayfromdemocrats,14
1526,native,14
1528,funds,14
1529,smart,14
1530,aap,14
1531,dog,14
1532,isn’t,14
1533,jews,14
1535,sessions,14
1536,ceo,14
1537,claiming,14
1538,y’all,14
1540,bus,14
1542,feminist,14
1544,normal,14
1545,fled,14
1548,2015,14
1549,germans,14
1550,prime,14
1551,there’s,14
1552,1500,14
1553,advertising,14
1555,target,14
1556,kiss,14
1557,lead,14
1558,classes,14
1559,visas,14
1560,coast,14
1561,aka,14
1562,comment,14
1563,spend,14
1564,destroyed,14
1565,italy's,14
1566,wave,14
1568,libyan,13
1569,reporting,13
1570,crash,13
1571,'hysterical',13
1572,reported,13
1573,reject,13
1574,abolish,13
1575,senate,13
1576,absolute,13
1577,cards,13
1578,talks,13
1580,late,13
1581,bag,13
1582,smh,13
1583,boats,13
1584,trouble,13
1585,bangladesh,13
1587,entitled,13
1588,hosting,13
1589,creating,13
1590,clinton,13
1593,hurts,13
1594,totally,13
1595,powerful,13
1596,nah,13
1597,hits,13
1598,bye,13
1599,governor,13
1600,fool,13
1601,debate,13
1602,success,13
1604,driver,13
1605,voice,13
1606,charities,13
1607,mayor,13
1608,protecting,13
1610,bullshit,13
1612,entry,13
1613,wet,13
1614,trump’s,13
1615,completely,13
1616,moms,13
1617,50,13
1618,failed,13
1619,simple,13
1620,teen,13
1621,slap,13
1622,humanity,13
1623,treated,13
1624,study,13
1625,lived,13
1626,increased,13
1627,pig,13
1628,offer,13
1630,journey,13
1631,disaster,13
1632,separating,13
1633,brought,13
1635,retweet,13
1636,2016,13
1637,chain,13
1639,trudeau,13
1640,advocates,13
1641,#thereforthevoiceless,13
1642,movement,13
1643,stole,13
1644,supports,13
1645,donate,13
1646,dating,13
1647,board,13
1648,nigerian,13
1649,guard,13
1650,feels,13
1651,terror,13
1652,actual,13
1653,fast,13
1654,opinion,13
1655,june,13
1656,malta,13
1657,wonderful,13
1658,favorite,13
1659,birth,13
1661,#fakenews,13
1662,ruin,13
1663,desert,13
1664,australia,13
1665,touch,13
1666,market,13
1667,decisions,13
1668,receive,13
1669,houses,13
1670,coastguard,13
1671,#qanon,13
1672,brain,13
1673,continues,13
1674,abortion,13
1675,closed,13
1676,private,13
1677,concerned,12
1678,eyes,12
1679,focus,12
1680,cory,12
1681,lack,12
1682,polish,12
1683,spread,12
1684,animals,12
1685,designed,12
